fname,mname,lname,gender,ssn,dob
"Erin","Kerry","Shannon","F","000-43-4438",03/08/1948
"Claire","Cynthia","McBride","F","900-53-2278",01/31/1974
"Norman","Brady","Lockwood","M","000-95-9299",10/22/1970
"Philip","Joseph","Quigley","M","900-35-5632",09/15/1932
"Joshua","Roger","Surbaugh","M","900-93-6437",05/29/1953
"Stephen","Jesse","Ramirez","M","800-51-0700",09/11/1931
"Ally","Diana","Garcia","F","800-76-4091",10/23/1981
"Abigail","Beth","Cottrell","F","800-61-5178",07/28/1971
"Samuel","Richard","Milam","M","000-45-1057",06/23/1972
"Michael","Joseph","Waln","M","900-14-2640",09/05/1932
"Isaak","Joseph","Flynn","M","800-77-9302",12/15/1937
"Mikayla","Sarah","Cobb","F","900-10-0622",10/07/1934
"Madeline","Amy","Collins","F","900-70-7579",02/24/1934
"Deborah","Melodie","Scholz","F","900-80-0090",10/15/1949
"Kayla","Gabrielle","Johnson","F","000-19-9907",03/07/1964
"Kimberly","Heather","Novas","F","800-03-1447",05/20/1946
"Sarah","Susan","Graham","F","900-25-5379",02/06/1942
"Joshua","Jerry","Lauderdale","M","000-71-4720",01/21/1938
"Kaylah","Teresa","Aamot","F","900-17-8157",12/26/1968
"Michelle","Andrea","Allen","F","000-11-4096",11/15/1968
"Manuel","Gregory","Escalera","M","800-14-9088",01/26/1971
"Debora","Lottie","Roush","F","800-72-9463",01/25/1973
"Justin","Michael","Rogers","M","800-59-2829",05/08/1954
"Alton","Rickey","Adams","M","900-69-0111",02/07/1966
"Joaquin","Phillip","MacLean","M","000-24-6902",03/29/1932
"Lindsay","Zoey","Leavitt","F","000-36-8227",04/01/1942
"Meghan","Kay","Knight","F","800-37-1582",05/08/1986
"John","James","Black","M","000-11-2402",05/26/1940
"Rosa","Giovanna","Eisbach","F","800-06-2006",03/28/1978
"Robert","Johnny","Medford","M","000-85-3716",05/31/1988
"Elizabeth","Stella","Pope","F","800-29-6448",03/04/1968
"Avis","Maria","Walton","F","800-84-9645",05/29/1973
"Catherine","Jodi","Douglas","F","000-15-7121",08/30/1971
"Lana","Kristen","Hunter","F","900-25-3393",10/13/1971
"Clayton","Ricky","Bentsen","M","800-49-2450",02/22/1972
"John","James","Easterwood","M","900-10-8804",12/31/1973
"Esther","Katherine","Hart","F","000-04-2189",08/10/1980
"Victor","Gregory","Dorsey","M","800-53-3565",07/16/1986
"Deidra","Terese","Fruehling","F","900-41-9329",10/02/1969
"Joseph","Aaron","Wilkins","M","800-11-5768",03/26/1969
"Erin","Bridgett","Simpson","F","000-81-5161",08/24/1937
"Ronald","Randy","Deyo","M","000-90-1585",03/26/1940
"Wayne","Kevin","Gallargo","M","000-37-6421",05/19/1981
"Skyler","Jason","Ward","M","800-68-4124",03/29/1977
"Savannah","Brenda","Potter","F","900-17-5934",09/30/1957
"Oscar","Derek","Larson","M","800-09-6187",07/25/1963
"Aimee","Tisha","Vanhekken","F","900-68-0635",08/01/1942
"Lindsay","Nancy","Waddell","F","900-84-2053",12/31/1949
"Daniel","Timothy","Lattanzio","M","000-05-3396",07/06/1943
"Melanie","Rebecca","Lawrence","F","800-59-5943",06/17/1937
"Olga","Kimberly","Strowbridge","F","900-35-7565",08/14/1979
"Kevin","Jonah","Montgomery","M","000-37-7348",11/11/1939
"Joseph","Dominic","Jordan","M","800-88-5603",09/27/1977
"Stephanie","Alexis","Torres","F","000-24-5842",04/23/1965
"Janice","Stephanie","Lynn","F","800-26-5743",07/16/1976
"Joseph","Hans","Berretti","M","000-53-0562",05/23/1946
"Danny","Gary","Russell","M","000-38-3080",12/08/1930
"Margaret","Griselda","Wardell","F","900-55-2000",03/12/1976
"Carolyn","Georgia","Hutchinson","F","800-08-3983",11/23/1987
"Claudette","Sarah","Terry","F","000-84-6268",10/26/1966
"Felicia","Kallie","Walker","F","800-79-5245",07/05/1979
"Kellie","Sara","Floyd","F","900-36-4490",03/27/1956
"Johnny","Jacques","Robinson","M","800-52-1882",10/15/1982
"George","Eric","King","M","000-93-2468",09/03/1961
"Kitty","Tanya","Silva","F","000-91-9965",11/26/1987
"Mackenzie","Theresa","Roberts","F","800-35-8301",03/28/1983
